EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
04703833;COMERCIAL CRUZEIRO LTDA;2062;49;0,00;01;
04704165;L L COMERCIO, REPRESENTACOES E PARTICIPACOES LTDA;2062;49;10000,00;01;
04704584;BAR E LANCHONETE AEROPONTO LTDA;2062;49;0,00;05;
04705180;HAPOYO COMERCIO DE ARTIGOS ORTOPEDICOS LTDA;2062;49;0,00;01;
04705892;PRYNESFF PROMOCAO E DIVULGACAO DE LIVROS LTDA;2062;49;302686,00;01;
04706521;INDUSTRIAL ASSISTENCIA TECNICA DE FORNO E FOGAO RESIDENCIAL E INDUSTRIAL;2062;49;0,00;01;
04706984;CENTRO DE RECUPERACAO SOCIAL DE IGUATU;3999;16;0,00;05;
04707195;FARMINA PET FOODS BRASIL LTDA;2062;05;12636212,60;05;
04707708;VEGATECH SOLUCOES EM ENGENHARIA E TELECOMUNICACOES LTDA;2062;49;0,00;05;
04708328;MAGEAL ADMINISTRACAO E PARTICIPACAO LTDA;2062;49;2,00;05;
04708345;SUGANUMA CONSULTORIA E ASSESSORIA S/C LTDA;2240;28;0,00;01;
04708736;SS- SERVICOS DE TELENTREGA LTDA;2062;49;0,00;05;
04708834;ASSOCIACAO COMUNITARIA DO BAIRRO BOM JARDIM ACBBJ;3999;16;0,00;05;
04709548;SANTOS & GALVAO LTDA;2240;49;5000,00;01;
04709750;C & M GIROTTO REPRESENTACAO COMERCIAL LTDA;2062;49;0,00;05;
04709825;C L EMPREITEIRA LTDA;2062;49;0,00;01;
04709913;WALTRAM CONSULTORIA E SERVICOS DE INFORMATICA LTDA;2062;49;0,00;01;
04711256;MARCIO JOSUEL RIBEIRO & CIA LTDA;2062;49;0,00;05;
04711365;FERRAZ SERVICOS MEDICOS E DIAGNOSTICOS POR IMAGEM LTDA;2062;49;3000,00;01;
04711381;COOPERATIVA AGROPECUARIA DA COMUNIDADE INDIGINA BETANIA;3999;16;0,00;05;
04712091;MORAIS & COUTINHO LTDA.;2062;49;0,00;01;
04712357;STI BRASIL SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA.;2062;49;0,00;05;
04712420;MGR - MARINGA GERENCIAMENTO DE RESIDUOS LTDA;2062;49;220000,00;05;
04713408;COLEGIO MERIDIONAL LTDA;2062;49;0,00;01;
04713555;GIGI TEAR LTDA;2062;49;12000,00;01;
04713950;NVERSOS SAUDE LTDA;2062;49;2681084,00;03;
04714230;CEBRAC - CENTRO BRASILEIRO DE ASSISTENCIA AO COOPERADO;3999;16;0,00;05;
04714430;ABM CONSULTORIA E DESENVOLVIMENTO S/C LTDA;2240;49;3000,00;01;
04714714;PONTO A PONTO COSTURAS E AVIAMENTOS LTDA;2062;49;0,00;01;
04715858;RWS ASSESSORIA EMPRESARIAL & FINANCEIRA LTDA;2240;49;95400,00;01;
04715921;MARIA JOSE DIOGO IGNACIO LTDA;2062;49;100000,00;01;
04716987;ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DO ASSENTAMENTO VILA BOM JARDIM;3999;16;0,00;05;
04717208;ADOS COMERCIO DE ROUPAS LTDA;2062;49;0,00;01;
04717219;BOMBONIERE E LANCHETERIA DOCE ENERGIA LTDA;2062;49;0,00;01;
04717557;HECLA - COMERCIO E REPRESENTACOES DE VESTUARIOS LTDA;2240;49;1000,00;05;
04717891;VISUAL SOFTWARE LTDA;2062;49;30000,00;05;
04717912;INTERMINAS SERVICOS DE REPRESENTACAO E IMOBILIARIA LTDA.;2062;49;78800,00;01;
04718072;PROCONTA - CONSULTORIA CONTABIL S/S LTDA;2240;49;0,00;01;
04718288;ANALYSES ENGENHARIA AMBIENTAL LTDA.;2062;49;0,00;05;
04718587;ORBAN AUTO PECAS LTDA;2062;49;0,00;05;
04718745;FESTAS & FESTAS - EVENTOS LTDA;2062;49;0,00;01;
04719103;ASSOCIACAO PRO - CRIANCA DE CAMPINAS;3999;16;0,00;05;
04719406;LOCADORA BREJETUBA LTDA;2062;49;150000,00;01;
04719418;CASSERO & TOMAZ LTDA;2062;49;0,00;05;
04719476;WECTRUS SISTEMAS DE AUTOMACAO LTDA;2062;49;10000,00;03;
04720064;DATALIDER COMERCIO DE EQUIPAMENTOS PARA TELECOMUNICACOES LTDA;2062;49;0,00;01;
04720478;MINI MERCADO G.S.P.R. LTDA;2062;49;0,00;01;
04721111;SOLEMAGIA TURISMO LTDA;2062;49;0,00;05;
04721797;ELETRICA SM LTDA.;2062;49;0,00;05;
04722084;GEFIN FOMENTO INDUSTRIAL E COMERCIAL LTDA.;2062;49;2439928,00;05;
04724022;COMISSAO DE FORMATURA DO CURSO SUPERIOR DE ENGENHARIA ELETRONICA E DE TELECOMUNICACOES - COFEET - 2002;3999;16;0,00;05;
04724686;AUTO PECAS E ELETRICA MG LTDA.;2062;49;0,00;01;
04724840;EL SHADDAI - POLIMENTOS LTDA;2062;49;0,00;05;
04724901;DUCK CONFECCOES LTDA;2062;49;0,00;01;
04724976;SECURITY BAG SERVICOS E LOCACAO DE EQUIPAMENTOS LTDA;2062;49;0,00;01;
04725020;DUENIU S CONFECCOES LTDA;2062;49;10000,00;01;
04725259;FONOCLIN SERVICOS DE FONOAUDIOLOGIA LTDA;2062;49;10000,00;01;
04725366;BULEGON E BULEGON COMERCIO DE REPRESENTAES LTDA;2062;49;0,00;01;
04725799;CONSTRUTORA BURITI LTDA;2062;49;0,00;03;
04726176;FGH - EMPRESA DE PARTICIPACOES LTDA;2062;49;0,00;05;
04727085;QUALYMASTER MECANICA INDUSTRIAL LTDA;2062;49;100000,00;01;
04727742;ASSOCIACAO ATLETICA UNIAO GUARULHENSE;3999;16;0,00;05;
04727879;DUNASRIOS COMERCIO E REPRESENTACOES LTDA;2062;49;30000,00;01;
04728346;IGREJA ALIANCA COM CRISTO EM MISSOES;3999;16;0,00;05;
04728362;M & S INTERNACIONAL REPRESENTACOES COMERCIAIS LTDA;2062;49;0,00;01;
04729155;ASSOCIACAO DE PAIS E MESTRES DO COLEGIO SANTO INACIO;3999;16;0,00;05;
04729403;DI EPOCA E ESTILO MOVEIS LTDA;2062;49;0,00;01;
04729590;COSAN AGRICOLA LTDA.;2062;05;0,00;05;
04729874;NEIVA DAHMER & CIA LTDA;2062;49;10000,00;01;
04730216;IGREJA EVANGELICA PENTECOSTAL DIVINA GRACA;3999;16;0,00;05;
04730452;AUDIO SYSTEM COMERCIO LTDA;2062;49;150000,00;03;
04730839;MOLDPAR-ESTRUTURAS PRE MOLDADAS LTDA.;2062;49;0,00;01;
04730916;CENTRO EDUCACIONAL DE ITABORAI PEDRO E SANTANA LTDA;2062;49;30000,00;01;
04732054;APHA ASSOCIACAO PROJETO HOMEM DO AMANHA;3999;16;0,00;05;
04732252;FUTURA CONSULTORIA S/C.LTDA;2240;49;0,00;05;
04732328;R. KRUGNER - ASSESSORIA S/C LTDA;2240;49;0,00;05;
04732497;MODENA VEICULOS LTDA;2062;49;0,00;05;
04733164;BLESSING INFORMATICA LTDA;2062;49;0,00;01;
04733261;CENTRO PAULISTANO DE SOROBAN LTDA.;2240;28;0,00;05;
04733277;MAHEN COMERCIO DE CONFECCOES LTDA;2062;49;0,00;01;
04733553;ASSOCIACAO DOS PRODUTORES AGROPECUARIOS DOS PICOS;3999;16;0,00;05;
04733849;ORBE SINDICAL - CONSULTORIA E ASSESSORAMENTO S/C LTDA;2240;49;0,00;01;
04734605;I.M. ATACADO DE CONFECCOES LTDA;2062;49;0,00;01;
04735105;BABY SACKS INDUSTRIA E COMERCIO LTDA;2062;49;0,00;01;
